,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
25,COCA34.SA,The Coca-Cola Company,237.60,0.00,0.00%,0,600,1.04T,102.41
26,192820.KS,"Cosmax, Inc.","100,000.00",+100.00,+0.10%,"69,363","125,689",1.005T,N/A
27,SKLT.JK,PT Sekar Laut Tbk,"1,610.00",0.00,0.00%,"1,100",17,1.001T,23.04
28,PEPB34.SA,"PepsiCo, Inc.",722.27,0.00,0.00%,0,"1,492",992.861B,139.87
29,2897.T,"Nissin Foods Holdings Co.,Ltd.","9,520.00",-120.00,-1.24%,"235,600","304,479",991.708B,34.01
30,001680.KS,Daesang Corporation,"26,850.00",+250.00,+0.94%,"114,970","350,105",986.66B,N/A
31,2267.T,"Yakult Honsha Co.,Ltd.","6,150.00",-40.00,-0.65%,"314,400","550,871",985.285B,24.79
32,161890.KS,"Kolmar Korea Co., Ltd.","43,050.00",+250.00,+0.58%,"153,868","267,378",985.036B,N/A
33,001685.KS,Daesang Corporation,"14,250.00",+100.00,+0.71%,"12,460","18,399",984.381B,N/A
34,CONCHATORO.SN,Vina Concha y Toro S.A.,"1,306.00",0.00,0.00%,"38,359","110,578",975.59B,17.73
35,WALMEX.MX,"Wal-Mart de Mexico, S.A.B. de C.V.",55.57,-0.24,-0.43%,3.483M,14.514M,964.012B,24.81
36,2801.T,Kikkoman Corporation,"5,000.00",-60.00,-1.19%,"476,500","564,329",959.875B,36.09
37,2802.T,"Ajinomoto Co., Inc.","1,747.50",-5.50,-0.31%,1.547M,1.714M,957.96B,50.85
38,003230.KS,"Samyang Foods Co., Ltd.","126,500.00","+3,500.00",+2.85%,"105,013","85,207",952.875B,N/A
39,ABEVN.MX,Ambev S.A.,60.00,0.00,0.00%,0,"7,147",912.252B,340.91
40,8028.T,"FamilyMart Co., Ltd.","1,754.00",-12.00,-0.68%,3.069M,1.919M,887.713B,20.39
41,BRITANNIA.BO,Britannia Industries Limited,"3,687.15",+9.70,+0.26%,"19,192","28,350",886.642B,63.20
42,BRITANNIA.NS,Britannia Industries Limited,"3,685.00",+6.55,+0.18%,"531,353","933,018",885.885B,63.16
43,KHC.MX,The Kraft Heinz Company,711.00,0.00,0.00%,0,118,874.374B,455.77
44,GIS.MX,"General Mills, Inc.","1,350.00",0.00,0.00%,0,24,857.624B,379.21
45,MNST.MX,Monster Beverage Corporation,"1,568.90",0.00,0.00%,0,497,843B,757.92
46,DABUR.NS,Dabur India Limited,473.25,-5.30,-1.11%,2.671M,3.592M,836.342B,58.07
47,DABUR.BO,Dabur India Limited,473.15,-5.35,-1.12%,"84,900","131,358",836.25B,58.06
48,ALTO.JK,PT Tri Banyan Tirta Tbk,380.00,0.00,0.00%,"1,000","18,754",832.911B,N/A
49,STZ.MX,"Constellation Brands, Inc.","4,169.05",-20.95,-0.50%,28,901,785.845B,"14,376.03"
50,001800.KS,ORION Holdings Corp.,"13,450.00",-50.00,-0.37%,"163,221","179,230",809.108B,N/A
51,005305.KS,"Lotte Chilsung Beverage Co.,Ltd.","58,000.00",-300.00,-0.51%,"6,158","15,965",801.676B,N/A
52,005300.KS,"Lotte Chilsung Beverage Co.,Ltd.","100,000.00","-1,500.00",-1.48%,"27,555","35,536",793.915B,N/A
53,000858.SZ,"Wuliangye Yibin Co.,Ltd.",203.36,+1.47,+0.73%,29.232M,20.395M,789.364B,42.37
54,4912.T,Lion Corporation,"2,625.00",-37.00,-1.39%,1.041M,1.096M,763.114B,24.91
55,CCH.L,Coca-Cola HBC AG,"2,051.00",+45.00,+2.24%,"571,288",1.107M,7.468B,14.31
56,COWC34.SA,Costco Wholesale Corporation,425.29,0.00,0.00%,0,"1,216",748.004B,50.88
57,BNZL.L,Bunzl plc,"2,213.00",-16.00,-0.72%,"167,675",1.004M,7.455B,21.18
58,4967.T,"Kobayashi Pharmaceutical Co., Ltd.","9,460.00",-110.00,-1.15%,"177,800","233,231",739.424B,38.54
59,WICO.JK,Pt Wicaksana Overseas International Tbk,580.00,0.00,0.00%,200,885,735.991B,N/A
60,4922.T,KOSE Corporation,"12,780.00",-500.00,-3.77%,"201,200","214,590",729.016B,27.32
61,GODREJCP.BO,Godrej Consumer Products Limited,695.25,-8.50,-1.21%,"31,318","80,787",710.768B,47.49
62,GODREJCP.NS,Godrej Consumer Products Limited,695.35,-8.25,-1.17%,"784,390",2.013M,711.016B,47.50
63,3038.T,"Kobe Bussan Co., Ltd.","6,560.00",+280.00,+4.46%,2.495M,1.921M,704.905B,52.96
64,049770.KS,"Dongwon F&B Co., Ltd.","181,000.00","-2,000.00",-1.09%,"5,619","7,746",698.501B,N/A
65,005440.KS,"Hyundai Green Food Co.,Ltd.","8,000.00",+10.00,+0.13%,"145,416","464,049",698.455B,N/A
66,280360.KS,"Lotte Confectionery Co., Ltd","107,000.00",+500.00,+0.47%,"3,669","6,973",686.099B,N/A
67,006040.KS,"Dongwon Industries Co., Ltd.","200,000.00",-500.00,-0.25%,"2,660","4,144",682.212B,N/A
68,017810.KS,"Pulmuone Co., Ltd.","17,850.00",-300.00,-1.65%,"108,287","356,576",664.755B,N/A
69,RANC.JK,PT Supra Boga Lestari Tbk,424.00,-4.00,-0.93%,"131,300","381,198",663.344B,9.85
70,FEMSAUBD.MX,"Fomento Economico Mexicano, S.A.B. de C.V.",137.51,-1.12,-0.81%,"558,348",3.478M,645.55B,18.74
71,003380.KQ,"Harim Holdings Co., Ltd.","6,800.00",-40.00,-0.58%,"74,492","263,554",636.373B,N/A
72,2875.T,"Toyo Suisan Kaisha, Ltd.","6,190.00",-30.00,-0.48%,"426,500","405,179",632.179B,27.04
73,2593.T,"Ito En, Ltd.","6,270.00",+80.00,+1.29%,"330,000","346,826",623.845B,97.83
74,CLX.MX,The Clorox Company,"5,030.00",-4.67,-0.09%,0,114,628.75B,737.97
75,267980.KQ,"Maeil Dairies Co., Ltd.","79,100.00",-400.00,-0.50%,"11,913","66,548",620.432B,N/A
76,018250.KS,"Aekyung Industrial Co., Ltd.","22,950.00",+50.00,+0.22%,"42,374","118,935",601.517B,N/A
77,CPALL.BK,CP ALL Public Company Limited,66.75,-0.75,-1.11%,19.102M,29.619M,599.615B,28.26
78,KR.MX,The Kroger Co.,752.00,0.00,0.00%,0,"1,103",585.016B,290.12
79,EMBONOR-B.SN,Coca-Cola Embonor S.A.,"1,215.00",0.00,0.00%,"35,047","315,099",561.816B,12.60
80,EMBONOR-A.SN,Coca-Cola Embonor S.A.,975.00,+0.86,+0.09%,"2,984",684,562.312B,10.11
81,HF.SN,Hortifrut S.A.,943.00,0.00,0.00%,55,"204,012",544.417B,"52,388.89"
82,2651.T,"Lawson, Inc.","5,440.00",-130.00,-2.33%,"381,900","384,210",544.343B,27.09
83,FEMSAUB.MX,"Fomento Economico Mexicano, S.A.B. de C.V.",134.50,0.00,0.00%,26,481,536.734B,18.33
84,MKC.MX,"McCormick & Company, Incorporated","4,119.00",0.00,0.00%,0,N/A,544.762B,740.96
85,005180.KS,"Binggrae Co., Ltd.","60,400.00",-600.00,-0.98%,"30,054","67,169",534.045B,N/A
86,7956.T,Pigeon Corporation,"4,425.00",-35.00,-0.78%,"581,400","471,126",529.792B,43.42
87,005610.KS,"SPC Samlip Co., Ltd.","64,900.00",-100.00,-0.15%,"6,736","14,063",526.029B,N/A
88,ADES.JK,PT Akasha Wira International Tbk,850.00,+5.00,+0.59%,"14,400","64,541",501.412B,5.72
89,AGAR.JK,PT Asia Sejahtera Mina Tbk,500.00,+20.00,+4.17%,200,"107,382",500B,251.89
90,000140.KS,"Hitejinro Holdings Co., Ltd.","22,300.00",-50.00,-0.22%,"24,970","79,052",495.272B,N/A
91,ADM.MX,Archer-Daniels-Midland Company,898.00,0.00,0.00%,0,14,486.459B,330.15
92,007390.KQ,"NatureCell Co.,Ltd.","9,180.00",-50.00,-0.54%,"269,346",2.255M,487.241B,N/A
93,SKBM.JK,PT Sekar Bumi Tbk,282.00,-18.00,-6.00%,200,"1,079",486.732B,88.04
94,000145.KS,"Hitejinro Holdings Co., Ltd.","17,800.00",0.00,0.00%,"3,157","12,884",496.383B,N/A
95,TSN.MX,"Tyson Foods, Inc.","1,348.50",0.00,0.00%,0,294,477.424B,251.12
96,CSRA.JK,PT Cisadane Sawit Raya Tbk,230.00,+2.00,+0.88%,"890,900",2.42M,471.5B,7.20
97,ANDI.JK,"PT. Andira Agro, Tbk",50.00,0.00,0.00%,"10,800","59,183",467.5B,31.19
98,2002.T,Nisshin Seifun Group Inc.,"1,556.00",-8.00,-0.51%,"773,300","942,596",462.325B,20.65
99,MARICO.NS,Marico Limited,349.40,-3.00,-0.85%,1.919M,3.64M,450.873B,44.17
0,MARICO.BO,Marico Limited,349.20,-3.25,-0.92%,3.183M,"155,389",450.548B,44.15
1,MAGP.JK,PT Multi Agro Gemilang Plantation Tbk,50.00,0.00,0.00%,700,345,450B,N/A
2,COCO.JK,PT Wahana Interfood Nusantara Tbk,795.00,+20.00,+2.58%,"88,000","9,725",445.393B,49.95
3,UNITDSPR.BO,United Spirits Limited,612.90,+19.35,+3.26%,"315,533","236,678",445.357B,65.97
4,MCDOWELL-N.NS,United Spirits Limited,612.95,+19.25,+3.24%,9.451M,4.628M,445.281B,65.98
5,2282.T,NH Foods Ltd.,"4,285.00",-75.00,-1.72%,"396,700","437,717",440.991B,22.96
6,BME.L,B&M European Value Retail S.A.,436.28,+2.28,+0.53%,1.806M,4.557M,4.365B,48.48
7,MRW.L,Wm Morrison Supermarkets PLC,179.95,-2.70,-1.48%,2.808M,11.136M,4.328B,12.50
8,SBRY.L,J Sainsbury plc,191.40,-2.55,-1.31%,5.229M,13.709M,4.252B,33.00
9,215200.KQ,MegaStudyEdu Co. Ltd,"35,500.00",+100.00,+0.28%,"88,849",N/A,419.251B,N/A
10,BEEF.JK,PT Estika Tata Tiara Tbk,222.00,+2.00,+0.91%,"492,400",1.685M,418.317B,11.10
11,MGNT.ME,Public Joint Stock Company Magnit,"4,200.00",-42.00,-0.99%,"316,673","490,305",428.026B,37.32
12,IKAN.JK,PT Era Mandiri Cemerlang Tbk,500.00,+32.00,+6.84%,7.056M,3.396M,416.666B,34.17
13,1216.TW,Uni-President Enterprises Corp.,73.30,+0.10,+0.14%,7.633M,8.645M,416.492B,22.98
14,2871.T,Nichirei Corporation,"3,115.00",-5.00,-0.16%,"312,900","652,435",414.999B,21.17
15,603288.SS,Foshan Haitian Flavouring and Food Company Ltd.,127.77,-0.28,-0.22%,6.382M,4.868M,414.031B,75.56
16,2229.T,"Calbee, Inc.","3,040.00",-5.00,-0.16%,"404,600","550,042",406.372B,23.17
17,4927.T,POLA Orbis Holdings Inc.,"1,811.00",-62.00,-3.31%,1.041M,"748,904",400.629B,28.06
18,MULTIFOODS.SN,Multiexport Foods S.A.,283.50,+1.37,+0.49%,"940,960","409,885",399.925B,"25,772.73"
19,2212.T,"Yamazaki Baking Co., Ltd.","1,835.00",-1.00,-0.05%,"485,300","818,292",398.912B,28.62
20,TATACONSUM.NS,Tata Consumer Products Limited,432.40,+19.70,+4.77%,6.977M,4.82M,398.382B,86.67
21,MDLZ34.SA,"Mondelez International, Inc.",137.10,0.00,0.00%,0,616,393.839B,53.96
22,MOOO34.SA,"Altria Group, Inc.",210.84,0.00,0.00%,0,126,397.636B,N/A
23,4527.T,"Rohto Pharmaceutical Co., Ltd.","3,425.00",+75.00,+2.24%,"438,200","285,228",390.69B,25.42
24,072710.KS,"NongShim Holdings Co.,Ltd.","83,700.00",0.00,0.00%,"1,045","4,374",388.183B,N/A
25,024720.KS,"Kolmar Korea Holdings Co., Ltd.","21,700.00",+50.00,+0.23%,"84,382","117,954",387.161B,N/A
26,BUDI.JK,PT Budi Starch & Sweetener Tbk,86.00,0.00,0.00%,"159,600","300,480",386.914B,6.72
27,WIIM.JK,PT Wismilak Inti Makmur Tbk,181.00,+1.00,+0.56%,3.164M,11.526M,380.076B,10.47
28,COLPAL.NS,Colgate-Palmolive (India) Limited,"1,390.50",-1.30,-0.09%,"763,457",1.068M,378.209B,46.32
29,COLPAL.BO,Colgate-Palmolive (India) Limited,"1,390.10",-1.75,-0.13%,"51,903","33,725",378.088B,46.31
30,4921.T,Fancl Corporation,"3,110.00",-55.00,-1.74%,"419,800","602,787",374.935B,37.71
31,ELCI34.SA,The Estee Lauder Companies Inc.,509.36,0.00,0.00%,0,25,364.741B,287.45
32,226320.KS,"It'S Hanbul Co., Ltd.","20,850.00","+2,000.00",+10.61%,2.256M,"181,172",367.306B,N/A
33,WMT,Walmart Inc.,126.69,-0.26,-0.20%,8.489M,9.23M,358.78B,24.09
34,PGHH.BO,Procter & Gamble Hygiene and Health Care Limited,"10,972.50",+631.75,+6.11%,816,470,356.591B,83.87
35,PGHH.NS,Procter & Gamble Hygiene and Health Care Limited,"10,970.50",+617.70,+5.97%,"29,799","5,331",356.11B,83.85
