,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
5,600585.SS,Anhui Conch Cement Company Limited,57.95,-0.05,-0.09%,42.52M,25.54M,299.276B,9.47
6,023410.KQ,Eugene Corporation,"3,840.00",0.00,0.00%,"337,750",N/A,296.874B,N/A
7,5711.T,Mitsubishi Materials Corporation,"2,265.00",-9.00,-0.40%,"438,000","541,856",296.577B,N/A
8,058650.KS,SeAH Holdings Corporation,"73,700.00",+100.00,+0.14%,636,584,294.734B,N/A
9,VALE3.SA,Vale S.A.,57.10,+0.73,+1.30%,16.268M,18.502M,292.918B,396.53
10,5233.T,Taiheiyo Cement Corporation,"2,378.00",-45.00,-1.86%,"628,200","815,684",288.126B,7.43
11,001525.KS,Tongyang Inc.,"6,290.00",+240.00,+3.97%,"13,256","32,758",279.419B,N/A
12,003300.KS,"Hanil Holdings Co., Ltd.","48,100.00",+750.00,+1.58%,"5,004","6,532",279.324B,N/A
13,N1EM34.SA,Newmont Corporation,334.49,0.00,0.00%,0,333,268.601B,7.59
14,2010.SR,Saudi Basic Industries Corporation,88.80,-0.40,-0.45%,"674,015",17.776M,266.4B,220.35
15,001529.KS,Tongyang Inc.,"31,350.00","+1,250.00",+4.15%,"1,297","3,344",261.867B,N/A
16,BAYERCROP.NS,Bayer CropScience Limited,"5,850.50",-133.85,-2.24%,"26,711","31,070",262.835B,55.41
17,BAYERCROP.BO,Bayer CropScience Limited,"5,849.40",-132.70,-2.22%,"1,386","1,631",262.884B,55.40
18,001527.KS,Tongyang Inc.,"11,450.00",+150.00,+1.33%,"3,441","6,405",254.763B,N/A
19,NMDC.BO,NMDC Limited,84.80,+2.05,+2.48%,1.016M,"323,524",259.645B,7.27
20,NMDC.NS,NMDC Limited,84.75,+2.05,+2.48%,16.991M,5.993M,259.649B,7.26
21,HKMU.JK,PT HK Metals Utama Tbk,80.00,0.00,0.00%,29.932M,50.47M,256.01B,4.16
22,251370.KQ,"YMT Co., Ltd.","34,350.00",+350.00,+1.03%,"112,517","87,326",254.369B,N/A
23,SINI.JK,PT Singaraja Putra Tbk,560.00,+20.00,+3.70%,"5,100","9,314",252.626B,792.08
24,4631.T,DIC Corporation,"2,655.00",-10.00,-0.38%,"321,000","337,646",251.283B,11.02
25,001520.KS,Tongyang Inc.,"1,215.00",-5.00,-0.41%,"726,016",4.798M,250.394B,N/A
26,HEIN.MX,HeidelbergCement AG,"1,237.57",0.00,0.00%,0,418,249.304B,198.11
