,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
35,CVX,Chevron Corporation,86.18,-0.13,-0.15%,2.02M,10.56M,160.896B,41.94
36,RNFT.ME,Public Joint Stock Company RussNeft,540.40,-9.60,-1.75%,"10,896","11,688",158.942B,6.52
37,P1SX34.SA,Phillips 66,184.25,0.00,0.00%,0,842,151.148B,222.79
38,FIRE.JK,PT Alfa Energi Investama Tbk,107.00,+1.00,+0.94%,1.106M,4.728M,157.864B,17.49
39,E1OG34.SA,"EOG Resources, Inc.",135.60,0.00,0.00%,0,"1,234",150.017B,37.35
40,CVX.SN,Chevron Corporation,88.13,-5.87,-6.24%,65,59,151.076B,42.89
41,RLI.VI,Reliance Industries Limited,43.85,-0.60,-1.35%,0,2,144.135B,N/A
42,FANG.MX,"Diamondback Energy, Inc.",935.00,0.00,0.00%,0,312,141.374B,N/A
43,CVX.VI,Chevron Corporation,76.94,-0.94,-1.21%,523,355,140.743B,37.44
44,CHV.F,Chevron Corporation,76.70,-0.92,-1.19%,390,807,140.774B,37.32
45,CHV.DE,Chevron Corporation,76.10,-2.17,-2.77%,995,"2,337",138.513B,37.03
46,RLI.F,Reliance Industries Limited,43.25,-1.35,-3.03%,260,964,141.685B,23.15
47,CLR.MX,"Continental Resources, Inc.",382.00,0.00,0.00%,0,84,126.702B,352.40
48,SLBG34.SA,Schlumberger Limited,98.80,+0.70,+0.71%,10,400,136.132B,N/A
49,WG.L,John Wood Group PLC,198.25,-2.55,-1.27%,"938,047",3.988M,1.358B,18.88
50,RUIS.JK,PT Radiant Utama Interinsco Tbk,174.00,+9.00,+5.45%,"1,000","26,020",133.98B,5.84
51,5021.T,"Cosmo Energy Holdings Co., Ltd.","1,567.00",-21.00,-1.32%,"205,800","478,162",131.699B,N/A
52,M1PC34.SA,Marathon Petroleum Corporation,193.95,0.00,0.00%,0,783,120.848B,N/A
53,RYDAF,Royal Dutch Shell plc,16.17,+0.24,+1.48%,"1,885","189,220",127.87B,13.22
54,RDS-B,Royal Dutch Shell plc,30.69,+0.03,+0.10%,1.209M,5.332M,126.135B,12.55
55,WOWS.JK,PT Ginting Jaya Energi Tbk,50.00,0.00,0.00%,3.744M,1.683M,123.786B,0.13
56,RDS-A,Royal Dutch Shell plc,32.53,-0.10,-0.32%,1.303M,6.714M,125.606B,13.30
57,RYDBF,Royal Dutch Shell plc,15.25,-0.25,-1.61%,"6,635","10,030",123.979B,12.47
58,VLOE34.SA,Valero Energy Corporation,151.83,0.00,0.00%,0,869,116.023B,147.55
59,K3OD.SI,PetroChina Company Limited,35.99,+1.16,+3.33%,400,213,119.755B,N/A
60,128820.KS,"Daesung Industrial Co., Ltd.","3,515.00",-120.00,-3.30%,"595,717","362,317",117.418B,N/A
61,APA.MX,Apache Corporation,301.60,0.00,0.00%,0,"6,609",107.617B,N/A
62,PTR,PetroChina Company Limited,36.85,+0.68,+1.87%,"126,052","148,311",118.058B,8.37
63,BOSS.JK,PT. Borneo Olah Sarana Sukses Tbk,80.00,0.00,0.00%,4.456M,18.936M,112B,39.43
64,TOP-R.BK,Thai Oil Public Company Limited,44.50,-2.50,-5.32%,24.334M,N/A,113.026B,N/A
65,SLL.SG,Standard Life Aberdeen plc,24.05,-0.15,-0.62%,0,116,47.62B,N/A
66,R6C2.F,Royal Dutch Shell plc,27.40,0.00,0.00%,800,374,110.433B,11.20
67,R6C3.F,Royal Dutch Shell plc,13.64,-0.17,-1.20%,"2,578","16,656",109.305B,11.15
68,RDSB.AS,Royal Dutch Shell plc,13.66,-0.16,-1.19%,"113,119","153,484",109.747B,11.17
69,R6C3.DE,Royal Dutch Shell plc,13.64,-0.15,-1.07%,"33,863","161,685",109.587B,11.15
70,OIL.BO,Oil India Limited,100.55,+1.45,+1.46%,"165,788","158,956",109.037B,2.86
71,OIL.NS,Oil India Limited,100.50,+1.50,+1.52%,1.258M,2.125M,109.093B,2.86
72,R6C1.F,Royal Dutch Shell plc,29.00,-0.20,-0.68%,340,701,109.774B,11.86
73,R6C.DE,Royal Dutch Shell plc,14.45,-0.19,-1.27%,"204,213","465,726",109.293B,11.82
74,R6C.F,Royal Dutch Shell plc,14.44,-0.26,-1.80%,"88,103","77,811",109.231B,11.81
75,RDSA.AS,Royal Dutch Shell plc,14.43,-0.22,-1.50%,8.077M,17.178M,109.185B,11.80
76,MOL.PR,MOL Magyar Olaj- es Gazipari Nyilvanosan Mukodo Reszvenytarsasag,141.00,+0.70,+0.50%,"1,000",62,106.387B,N/A
77,TTFNF,TOTAL S.A.,39.71,0.00,0.00%,76,"20,519",101.468B,13.08
